,city,10,20,30
158,Ершов,4.26,5.16,5.53
159,Кирсанов,4.26,5.16,5.53
160,Кораблино,4.23,5.16,5.53
161,Новомичуринск,4.23,5.16,5.53
162,Славгород,4.28,5.16,5.53
163,Яровое,4.28,5.16,5.53
164,Белинский,4.24,5.15,5.53
165,Гуково,4.26,5.15,5.52
166,Зверево,4.26,5.15,5.52
167,Красный Сулин,4.26,5.15,5.52
168,Новошахтинск,4.26,5.15,5.52
169,Собинка,4.22,5.15,5.52
170,Лакинск,4.22,5.15,5.52
171,Астрахань,4.29,5.15,5.52
172,Нариманов,4.29,5.15,5.52
173,Цимлянск,4.26,5.15,5.52
174,Казань,4.22,5.15,5.52
175,Ясногорск,4.22,5.15,5.52
176,Тула,4.22,5.15,5.52
177,Липки,4.22,5.15,5.52
178,Советск,4.22,5.15,5.52
179,Щекино,4.22,5.15,5.52
180,Арск,4.23,5.15,5.52
181,Пущино,4.21,5.15,5.52
182,Протвино,4.21,5.15,5.52
183,Серпухов,4.21,5.15,5.52
184,Чехов,4.21,5.15,5.52
185,Волгоград,4.29,5.15,5.52
186,Славск,4.24,5.15,5.52
187,Неман,4.24,5.15,5.52
188,Павлово,4.21,5.15,5.52
189,Горбатов,4.21,5.15,5.52
190,Ворсма,4.21,5.15,5.52
191,Володарск,4.21,5.15,5.52
192,Палласовка,4.26,5.14,5.51
193,Таруса,4.21,5.14,5.51
194,Алексин,4.21,5.14,5.51
195,Ефремов,4.22,5.14,5.51
196,Княгинино,4.22,5.14,5.51
197,Лысково,4.22,5.14,5.51
198,Гай,4.23,5.14,5.51
199,Луховицы,4.2,5.14,5.51
200,Зарайск,4.2,5.14,5.51
201,Озеры,4.2,5.14,5.51
202,Коломна,4.2,5.14,5.51
203,Коркино,4.17,5.14,5.51
204,Челябинск,4.17,5.14,5.51
205,Еманжелинск,4.17,5.14,5.51
206,Одинцово,4.18,5.13,5.5
207,Домодедово,4.18,5.13,5.5
208,Подольск,4.18,5.13,5.5
209,Видное,4.18,5.13,5.5
210,Жердевка,4.23,5.13,5.5
211,Голицыно,4.19,5.13,5.5
212,Краснознаменск,4.19,5.13,5.5
213,Кубинка,4.19,5.13,5.5
214,Звенигород,4.19,5.13,5.5
215,Апрелевка,4.19,5.13,5.5
216,Наро-Фоминск,4.19,5.13,5.5
217,Рязань,4.19,5.13,5.5
218,Новочеркасск,4.22,5.13,5.5
219,Аксай,4.22,5.13,5.5
220,Шахты,4.22,5.13,5.5
221,Октябрьск,4.23,5.13,5.5
222,Сызрань,4.23,5.13,5.5
223,Котовск,4.22,5.13,5.49
224,Тамбов,4.22,5.13,5.49
225,Красный Кут,4.22,5.12,5.49
226,Спасск-Рязанский,4.18,5.12,5.49
227,Бузулук,4.21,5.12,5.49
228,Фролово,4.23,5.12,5.49
229,Ахтубинск,4.26,5.12,5.49
230,Костерево,4.18,5.12,5.49
231,Покров,4.18,5.12,5.49
232,Петушки,4.18,5.12,5.49
233,Орск,4.22,5.12,5.49
234,Спас-Клепики,4.18,5.12,5.49
235,Долгопрудный,4.17,5.12,5.48
236,Красногорск,4.17,5.12,5.48
237,Москва,4.17,5.12,5.48
238,Лобня,4.17,5.12,5.48
239,Химки,4.17,5.12,5.48
240,Мытищи,4.17,5.12,5.48
241,Хвалынск,4.23,5.12,5.48
242,Муром,4.18,5.12,5.48
243,Меленки,4.18,5.12,5.48
244,Выкса,4.18,5.12,5.48
245,Рошаль,4.18,5.12,5.48
246,Белоусово,4.17,5.11,5.48
247,Балабаново,4.17,5.11,5.48
248,Чаплыгин,4.18,5.11,5.48
249,Обнинск,4.17,5.11,5.48
250,Кременки,4.17,5.11,5.48
251,Жуков,4.17,5.11,5.48
252,Ермолино,4.17,5.11,5.48
253,Чапаевск,4.21,5.11,5.48
254,Самара,4.21,5.11,5.48
255,Новокуйбышевск,4.21,5.11,5.48
256,Лебедянь,4.18,5.11,5.48
257,Оренбург,4.21,5.11,5.48
258,Уварово,4.21,5.11,5.48
259,Эртиль,4.2,5.11,5.48
260,Мценск,4.18,5.11,5.47
261,Руза,4.17,5.1,5.47
262,Можайск,4.17,5.1,5.47
263,Верея,4.17,5.1,5.47
264,Саратов,4.21,5.1,5.47
265,Энгельс,4.21,5.1,5.47
266,Харабали,4.24,5.1,5.47
267,Рассказово,4.2,5.1,5.47
268,Камень-на-Оби,4.23,5.1,5.47
269,Ленинск,4.23,5.1,5.47
270,Пугачев,4.19,5.1,5.47
271,Белая Калитва,4.2,5.1,5.47
272,Новосиль,4.18,5.1,5.47
273,Морозовск,4.21,5.1,5.46
274,Малоархангельск,4.18,5.1,5.46
275,Знаменск,4.21,5.1,5.46
276,Раменское,4.15,5.1,5.46
277,Люберцы,4.15,5.1,5.46
278,Лыткарино,4.15,5.1,5.46
279,Электроугли,4.15,5.1,5.46
280,Бронницы,4.15,5.1,5.46
281,Дзержинский,4.15,5.1,5.46
282,Котельники,4.15,5.1,5.46
283,Жуковский,4.15,5.1,5.46
284,Нефтегорск,4.2,5.09,5.46
285,Грязи,4.18,5.09,5.46
286,Элиста,4.23,5.09,5.46
287,Новоалександровск,4.16,5.09,5.46
288,Дюртюли,4.16,5.09,5.46
289,Балашов,4.19,5.09,5.46
290,Гвардейск,4.17,5.09,5.46
291,Правдинск,4.17,5.09,5.46
292,Семикаракорск,4.17,5.09,5.46
293,Константиновск,4.17,5.09,5.45
294,Инза,4.19,5.09,5.45
295,Усмань,4.17,5.08,5.45
296,Болотное,4.16,5.08,5.45
297,Кинель,4.17,5.08,5.45
298,Рубцовск,4.17,5.08,5.45
299,Арзамас,4.15,5.08,5.44
300,Ликино-Дулево,4.13,5.08,5.44
301,Егорьевск,4.13,5.08,5.44
302,Воскресенск,4.13,5.08,5.44
303,Дрезна,4.13,5.08,5.44
304,Куровское,4.13,5.08,5.44
305,Белоозерский,4.13,5.08,5.44
306,Губкин,4.15,5.08,5.44
307,Касимов,4.15,5.08,5.44
308,Барыш,4.18,5.08,5.44
309,Владимир,4.14,5.07,5.44
310,Судогда,4.14,5.07,5.44
311,Шатура,4.13,5.07,5.44
312,Пенза,4.16,5.07,5.44
313,Ливны,4.15,5.07,5.44
314,Старый Оскол,4.15,5.06,5.43
315,Электрогорск,4.11,5.06,5.43
316,Электросталь,4.11,5.06,5.43
317,Киржач,4.11,5.06,5.43
318,Ногинск,4.11,5.06,5.43
319,Орехово-Зуево,4.11,5.06,5.43
320,Павловский Посад,4.11,5.06,5.43
321,Маркс,4.16,5.06,5.43
322,Серафимович,4.18,5.06,5.43
323,Курск,4.14,5.06,5.42
324,Мичуринск,4.14,5.06,5.42
325,Канаш,4.12,5.06,5.42
326,Бутурлиновка,4.16,5.06,5.42
327,Задонск,4.13,5.06,5.42
328,Елец,4.13,5.06,5.42
329,Щигры,4.13,5.06,5.42
330,Калач,4.15,5.05,5.42
331,Бугуруслан,4.14,5.05,5.42
332,Липецк,4.14,5.05,5.42
333,Малоярославец,4.11,5.05,5.42
334,Боровск,4.11,5.05,5.42
335,Светлоград,4.16,5.05,5.41
336,Ипатово,4.16,5.05,5.41
337,Семилуки,4.13,5.05,5.41
338,Железногорск,4.14,5.05,5.41
339,Шарыпово,4.08,5.05,5.41
340,Поворино,4.13,5.05,5.41
341,Орел,4.12,5.05,5.41
342,Белев,4.12,5.05,5.41
343,Чекалин,4.12,5.05,5.41
344,Суворов,4.12,5.05,5.41
345,Сосенский,4.12,5.05,5.41
346,Миллерово,4.16,5.05,5.41
347,Весьегонск,4.19,5.04,5.41
348,Похвистнево,4.14,5.04,5.4
349,Отрадный,4.14,5.04,5.4
350,Пласт,4.07,5.04,5.4
351,Михайловка,4.15,5.04,5.4
352,Калуга,4.11,5.04,5.4
353,Гаврилов Посад,4.11,5.04,5.4
354,Углегорск,4.42,5.04,5.4
355,Фатеж,4.13,5.03,5.4
356,Бор,4.1,5.03,5.4
357,Обоянь,4.12,5.03,5.39
358,Строитель,4.12,5.03,5.39
359,Урюпинск,4.12,5.03,5.39
360,Новохоперск,4.12,5.03,5.39
361,Ивантеевка,4.09,5.03,5.39
362,Королев,4.09,5.03,5.39
363,Реутов,4.09,5.03,5.39
364,Балашиха,4.09,5.03,5.39
365,Пушкино,4.09,5.03,5.39
366,Фрязино,4.09,5.03,5.39
367,Лосино-Петровский,4.09,5.03,5.39
368,Щелково,4.09,5.03,5.39
369,Старая Купавна,4.09,5.03,5.39
370,Черноголовка,4.09,5.03,5.39
371,Шиханы,4.12,5.03,5.39
372,Вольск,4.12,5.03,5.39
373,Балаково,4.12,5.03,5.39
374,Искитим,4.14,5.03,5.39
375,Бобров,4.12,5.03,5.39
376,Заозерск,4.29,5.03,5.39
377,Сухиничи,4.08,5.03,5.39
378,Козельск,4.08,5.03,5.39
379,Кувандык,4.15,5.03,5.39
380,Медногорск,4.15,5.03,5.39
381,Борисоглебск,4.12,5.03,5.39
382,Сергач,4.1,5.03,5.39
383,Болхов,4.09,5.02,5.38
384,Гагарин,4.1,5.02,5.38
