,city,10,20,30
158,Гуково,4.61,5.35,5.84
159,Ртищево,4.61,5.36,5.86
160,Старый Крым,4.61,5.18,5.55
161,Судак,4.61,5.18,5.55
162,Ковылкино,4.61,5.37,5.88
163,Камышин,4.6,5.31,5.77
164,Новоалександровск,4.6,5.35,5.85
165,Николаевск,4.6,5.31,5.77
166,Плавск,4.6,5.36,5.86
167,Петров Вал,4.6,5.32,5.8
168,Инсар,4.59,5.36,5.86
169,Троицк,4.59,5.34,5.85
170,Заозерск,4.59,5.27,5.72
171,Новоузенск,4.59,5.32,5.81
172,Рыбное,4.59,5.36,5.87
173,Скопин,4.59,5.35,5.86
174,Искитим,4.59,5.31,5.78
175,Дубовка,4.59,5.3,5.77
176,Волжский,4.59,5.3,5.77
177,Ершов,4.59,5.34,5.82
178,Данков,4.58,5.34,5.85
179,Элиста,4.58,5.3,5.78
180,Кирсанов,4.58,5.34,5.84
181,Неман,4.58,5.37,5.89
182,Михайловск,4.58,5.29,5.75
183,Шахты,4.58,5.33,5.83
184,Цимлянск,4.58,5.32,5.81
185,Аксай,4.58,5.33,5.83
186,Ставрополь,4.58,5.29,5.75
187,Славск,4.58,5.37,5.89
188,Октябрьск,4.58,5.3,5.77
189,Сызрань,4.58,5.3,5.77
190,Медногорск,4.58,5.3,5.77
191,Кувандык,4.58,5.3,5.77
192,Новочеркасск,4.58,5.33,5.83
193,Кстово,4.58,5.35,5.86
194,Белинский,4.57,5.33,5.83
195,Ряжск,4.57,5.33,5.84
196,Кашира,4.57,5.34,5.85
197,Советск,4.57,5.33,5.84
198,Оренбург,4.57,5.31,5.79
199,Перевоз,4.57,5.35,5.86
200,Хвалынск,4.57,5.29,5.75
201,Ступино,4.57,5.34,5.85
202,Ясногорск,4.57,5.34,5.84
203,Щекино,4.57,5.33,5.84
204,Тула,4.57,5.33,5.84
205,Липки,4.57,5.33,5.84
206,Богородск,4.57,5.34,5.86
207,Дзержинск,4.57,5.34,5.86
208,Бузулук,4.56,5.31,5.8
209,Харабали,4.56,5.27,5.72
210,Ефремов,4.56,5.32,5.82
211,Буинск,4.56,5.33,5.83
212,Палласовка,4.56,5.29,5.77
213,Жердевка,4.56,5.32,5.82
214,Таруса,4.56,5.32,5.83
215,Фролово,4.56,5.3,5.78
216,Алексин,4.56,5.32,5.83
217,Серпухов,4.55,5.32,5.83
218,Саки,4.55,5.14,5.52
219,Бахчисарай,4.55,5.14,5.52
220,Тамбов,4.55,5.3,5.8
221,Котовск,4.55,5.3,5.8
222,Пущино,4.55,5.32,5.83
223,Чехов,4.55,5.32,5.83
224,Протвино,4.55,5.32,5.83
225,Ленинск,4.55,5.26,5.72
226,Саратов,4.55,5.27,5.74
227,Белая Калитва,4.55,5.29,5.78
228,Энгельс,4.55,5.27,5.74
229,Кораблино,4.55,5.32,5.82
230,Новомичуринск,4.55,5.32,5.82
231,Новокуйбышевск,4.55,5.28,5.77
232,Красный Кут,4.55,5.29,5.78
233,Чапаевск,4.55,5.28,5.77
234,Самара,4.55,5.28,5.77
235,Кропоткин,4.54,5.29,5.78
236,Гулькевичи,4.54,5.29,5.78
237,Ипатово,4.54,5.27,5.74
238,Славянск-на-Кубани,4.54,5.28,5.77
239,Нефтегорск,4.54,5.29,5.78
240,Светлоград,4.54,5.27,5.74
241,Ахтубинск,4.54,5.25,5.72
242,Южноуральск,4.54,5.31,5.82
243,Гвардейск,4.53,5.32,5.85
244,Озеры,4.53,5.3,5.81
245,Балашов,4.53,5.28,5.78
246,Малоархангельск,4.53,5.29,5.79
247,Семикаракорск,4.53,5.28,5.77
248,Пугачев,4.53,5.28,5.77
249,Морозовск,4.53,5.27,5.75
250,Балахна,4.53,5.3,5.81
251,Городец,4.53,5.3,5.81
252,Луховицы,4.53,5.3,5.81
253,Эртиль,4.53,5.29,5.78
254,Нижний Новгород,4.53,5.3,5.81
255,Коломна,4.53,5.3,5.81
256,Правдинск,4.53,5.32,5.85
257,Уварово,4.53,5.28,5.78
258,Рассказово,4.53,5.28,5.78
259,Зарайск,4.53,5.3,5.81
260,Мценск,4.53,5.29,5.79
261,Пенза,4.52,5.27,5.77
262,Чаплыгин,4.52,5.28,5.79
263,Инза,4.52,5.27,5.77
264,Новосиль,4.52,5.28,5.78
265,Серафимович,4.52,5.25,5.73
266,Лебедянь,4.52,5.28,5.78
267,Кинель,4.52,5.27,5.76
268,Константиновск,4.52,5.27,5.76
269,Гусь-Хрустальный,4.52,5.29,5.8
270,Курлово,4.52,5.29,5.8
271,Лысково,4.52,5.28,5.79
272,Княгинино,4.52,5.28,5.79
273,Знаменск,4.51,5.23,5.7
274,Собинка,4.51,5.29,5.8
275,Жуков,4.51,5.28,5.79
276,Лакинск,4.51,5.29,5.8
277,Арск,4.51,5.28,5.79
278,Ермолино,4.51,5.28,5.79
279,Казань,4.51,5.27,5.77
280,Апрелевка,4.51,5.29,5.8
281,Видное,4.51,5.29,5.8
282,Краснознаменск,4.51,5.29,5.8
283,Одинцово,4.51,5.29,5.8
284,Подольск,4.51,5.29,5.8
285,Домодедово,4.51,5.29,5.8
286,Звенигород,4.51,5.29,5.8
287,Наро-Фоминск,4.51,5.29,5.8
288,Голицыно,4.51,5.29,5.8
289,Обнинск,4.51,5.28,5.79
290,Балабаново,4.51,5.28,5.79
291,Кременки,4.51,5.28,5.79
292,Белоусово,4.51,5.28,5.79
293,Кубинка,4.51,5.29,5.8
294,Павлово,4.5,5.27,5.79
295,Можайск,4.5,5.27,5.79
296,Боготол,4.5,5.29,5.82
297,Курск,4.5,5.25,5.75
298,Губкин,4.5,5.26,5.75
299,Миллерово,4.5,5.23,5.71
300,Калач,4.5,5.24,5.73
301,Бугуруслан,4.5,5.25,5.74
302,Володарск,4.5,5.27,5.79
303,Горбатов,4.5,5.27,5.79
304,Усмань,4.5,5.25,5.75
305,Ворсма,4.5,5.27,5.79
306,Верея,4.5,5.27,5.79
307,Ливны,4.5,5.26,5.76
308,Барыш,4.5,5.26,5.77
309,Юрга,4.5,5.24,5.73
310,Маркс,4.5,5.24,5.73
311,Грязи,4.5,5.26,5.76
312,Рязань,4.5,5.27,5.78
313,Руза,4.5,5.27,5.79
314,Бутурлиновка,4.49,5.24,5.73
315,Мичуринск,4.49,5.24,5.74
316,Спасск-Рязанский,4.49,5.25,5.76
317,Поворино,4.49,5.23,5.73
318,Меленки,4.49,5.26,5.77
319,Старый Оскол,4.49,5.24,5.74
320,Дюртюли,4.49,5.25,5.75
321,Салехард,4.49,5.18,5.64
322,Похвистнево,4.49,5.23,5.73
323,Муром,4.49,5.26,5.77
324,Кумертау,4.49,5.22,5.71
325,Мелеуз,4.49,5.22,5.71
326,Выкса,4.49,5.26,5.77
327,Лыткарино,4.48,5.25,5.76
328,Елец,4.48,5.24,5.74
329,Дзержинский,4.48,5.25,5.76
330,Красногорск,4.48,5.25,5.77
331,Химки,4.48,5.25,5.77
332,Рошаль,4.48,5.24,5.75
333,Задонск,4.48,5.24,5.74
334,Котельники,4.48,5.25,5.76
335,Люберцы,4.48,5.25,5.76
336,Спас-Клепики,4.48,5.25,5.75
337,Бронницы,4.48,5.25,5.76
338,Костерево,4.48,5.25,5.77
339,Мытищи,4.48,5.25,5.77
340,Жуковский,4.48,5.25,5.76
341,Электроугли,4.48,5.25,5.76
342,Раменское,4.48,5.25,5.76
343,Долгопрудный,4.48,5.25,5.77
344,Щигры,4.48,5.23,5.73
345,Москва,4.48,5.25,5.77
346,Покров,4.48,5.25,5.77
347,Петушки,4.48,5.25,5.77
348,Железногорск,4.48,5.22,5.72
349,Михайловка,4.48,5.21,5.7
350,Отрадный,4.48,5.22,5.71
351,Кореновск,4.48,5.22,5.71
352,Лобня,4.48,5.25,5.77
353,Урюпинск,4.47,5.22,5.72
354,Новохоперск,4.47,5.22,5.72
355,Шиханы,4.47,5.19,5.67
356,Печоры,4.47,5.2,5.68
357,Липецк,4.47,5.23,5.72
358,Вольск,4.47,5.19,5.67
359,Балаково,4.47,5.19,5.67
360,Семилуки,4.47,5.22,5.72
361,Бобров,4.47,5.22,5.71
362,Орел,4.47,5.22,5.72
363,Тимашевск,4.47,5.22,5.71
364,Фатеж,4.46,5.21,5.7
365,Борисоглебск,4.46,5.21,5.7
366,Еманжелинск,4.46,5.24,5.76
367,Арзамас,4.46,5.23,5.74
368,Строитель,4.46,5.21,5.71
369,Челябинск,4.46,5.24,5.76
370,Донецк,4.46,5.19,5.68
371,Обоянь,4.46,5.21,5.71
372,Каменск-Шахтинский,4.46,5.19,5.68
373,Коркино,4.46,5.24,5.76
374,Сосенский,4.45,5.21,5.72
375,Весьегонск,4.45,5.16,5.63
376,Воскресенск,4.45,5.23,5.74
377,Белев,4.45,5.21,5.72
378,Егорьевск,4.45,5.23,5.74
379,Дрезна,4.45,5.23,5.74
380,Чекалин,4.45,5.21,5.72
381,Сорск,4.45,5.14,5.59
382,Малоярославец,4.45,5.22,5.73
383,Никольск,4.45,5.2,5.7
384,Короча,4.45,5.19,5.68
385,Касимов,4.45,5.21,5.72
386,Боровск,4.45,5.22,5.73
387,Калуга,4.45,5.21,5.72
388,Куровское,4.45,5.23,5.74
389,Ликино-Дулево,4.45,5.23,5.74
390,Белоозерский,4.45,5.23,5.74
391,Суворов,4.45,5.21,5.72
392,Новоаннинский,4.45,5.19,5.68
393,Новый Оскол,4.44,5.19,5.68
394,Судогда,4.44,5.21,5.72
395,Анжеро-Судженск,4.44,5.2,5.7
396,Курчатов,4.44,5.19,5.68
397,Дмитриев-Льговский,4.44,5.19,5.69
398,Канаш,4.44,5.2,5.71
399,Владимир,4.44,5.21,5.72
400,Шатура,4.44,5.21,5.72
401,Алексеевка,4.44,5.18,5.68
402,Сухиничи,4.43,5.19,5.7
403,Гагарин,4.43,5.2,5.71
404,Мариинск,4.43,5.21,5.72
405,Гаврилов Посад,4.43,5.2,5.71
406,Козельск,4.43,5.19,5.7
407,Павловск,4.43,5.17,5.66
408,Болхов,4.43,5.19,5.69
409,Магнитогорск,4.43,5.18,5.67
410,Черняховск,4.43,5.21,5.73
411,Нововоронеж,4.42,5.17,5.67
412,Ногинск,4.42,5.2,5.72
413,Электросталь,4.42,5.2,5.72
414,Орехово-Зуево,4.42,5.2,5.72
415,Сергач,4.42,5.19,5.7
416,Павловский Посад,4.42,5.2,5.72
417,Киржач,4.42,5.2,5.72
418,Электрогорск,4.42,5.2,5.72
419,Льгов,4.42,5.16,5.66
420,Острогожск,4.42,5.17,5.66
421,Богучар,4.42,5.16,5.65
422,Спасск,4.42,5.18,5.69
423,Воронеж,4.42,5.17,5.67
424,Горняк,4.42,5.14,5.61
425,Краснокаменск,4.41,5.12,5.6
426,Россошь,4.41,5.14,5.63
427,Бирюч,4.41,5.15,5.64
428,Лиски,4.41,5.16,5.65
429,Сибай,4.41,5.15,5.63
430,Дмитровск,4.41,5.17,5.67
431,Фрязино,4.4,5.17,5.68
432,Реутов,4.4,5.17,5.68
433,Старая Купавна,4.4,5.17,5.68
434,Щелково,4.4,5.17,5.68
435,Саранск,4.4,5.16,5.66
436,Рузаевка,4.4,5.16,5.66
437,Кукмор,4.4,5.15,5.64
438,Шебекино,4.4,5.15,5.64
439,Белгород,4.4,5.15,5.64
